Entities as member of disjoint class,-0.39,,0.31,,,,-0.29,,,,,,0.04,,-0.22,,0.04,,-0.22,,0.74,***,0.34,,,,0.4,*,-0.48,*,-0.91,***,0.44,*,-0.32,,0.85,***,1.0,***,,,-0.67,***,0.4,*,0.9,***,-0.41,*,,,0.43,,,,0.77,,,,0.49,*,,,0.27,,1.0,***,0.0,,-0.28,,-0.32,,0.79,***,-1.0,***,0.83,***,-0.34,,-0.33,,,,0.04,,0.51,**,-0.12,,-0.33,,0.47,*,0.9,***,-0.39,,0.1,,0.8,***,,,0.33,,-0.03,,0.41,*,-0.0,,-0.19,,,,0.04,,-0.53,**,,,,,-0.24,,,,,,,,-0.49,*,-0.4,,1.0,***,,,-0.8,***,0.01,,-0.53,**,,,,,0.53,**,0.4,*,-0.51,**
Functional properties with inconsistent values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inactive links,0.2,*,-0.14,,-0.04,,0.22,,-0.13,,,,-0.22,*,0.3,**,-0.22,*,0.3,**,-0.79,***,-0.13,,,,-0.19,*,0.04,,0.08,,-0.02,,0.32,**,-0.23,*,-0.67,***,,,1.0,***,-0.22,*,-0.24,*,0.0,,,,-0.32,*,,,-0.1,,,,-0.23,*,0.24,*,-0.06,,0.0,,0.21,,-0.1,,-0.08,,-0.1,,0.03,,-0.03,,-0.16,,-0.14,,,,-0.17,,-0.09,,0.5,**,0.16,,-0.08,,-0.0,,0.2,*,0.03,,-0.1,,,,-0.24,*,0.16,,-0.25,*,-0.39,***,0.09,,,,-0.17,,0.35,***,,,,,0.25,*,,,-0.11,,,,0.12,,0.33,**,-0.21,*,-0.02,,0.31,**,0.22,*,0.34,***,-0.01,,-0.01,,-0.11,,-0.18,,0.2,*
Interlinking completeness,-0.37,***,0.16,,0.1,,-0.42,***,-0.05,,,,0.17,,-0.15,,0.17,,-0.15,,0.29,**,0.11,,,,1.0,***,-0.09,,-0.17,,-0.26,**,-0.01,,0.21,,0.4,*,,,-0.22,*,1.0,***,0.29,**,0.04,,,,0.02,,,,-0.08,,,,0.05,,-0.45,***,0.12,,-0.07,,-0.08,,0.08,,0.08,,0.4,***,0.14,,0.26,*,0.14,,0.12,,,,-0.01,,-0.3,**,-0.4,*,-0.25,*,-0.17,,-0.09,,-0.37,***,0.3,**,-0.24,*,,,0.13,,0.05,,-0.05,,0.22,*,0.22,*,,,-0.01,,-0.08,,,,,,-0.18,,,,-0.29,*,,,0.17,,-0.11,,0.37,***,0.0,,-0.47,***,-0.03,,-0.08,,-0.23,*,-0.23,*,0.17,,0.22,*,-0.36,***
Interlinking,-0.13,,0.09,,0.47,***,0.12,,0.19,,,,0.1,,0.3,**,0.1,,0.3,**,0.41,***,0.17,,,,0.3,**,-0.08,,0.04,,-0.2,*,-0.0,,-0.2,,0.9,***,,,-0.24,*,0.29,**,1.0,***,0.39,***,,,0.07,,,,0.22,,,,0.27,**,-0.06,,0.23,*,0.28,*,0.16,,0.05,,0.08,,0.06,,-0.07,,0.17,,0.11,,0.06,,,,0.39,***,0.1,,-0.65,***,0.09,,0.16,,0.47,***,-0.13,,0.08,,0.13,,,,0.07,,0.03,,0.35,***,-0.1,,0.08,,,,0.39,***,-0.02,,,,,,0.19,,,,-0.03,,,,-0.08,,-0.18,,0.01,,0.05,,-0.28,**,0.28,**,-0.04,,-0.05,,-0.05,,0.32,***,0.54,***,0.2,*
Interpretability,0.28,**,0.17,,0.43,***,0.17,,0.45,***,,,-0.15,,0.21,*,-0.15,,0.21,*,0.03,,0.12,,,,0.06,,0.35,***,0.55,***,-0.4,***,0.41,***,-0.29,**,-0.41,*,,,0.0,,0.04,,0.39,***,1.0,***,,,-0.16,,,,0.26,*,,,0.02,,0.02,,-0.01,,0.26,*,0.25,*,0.17,,0.19,*,-0.34,**,0.11,,-0.01,,0.25,*,0.25,**,,,0.68,***,-0.04,,0.44,**,0.52,***,0.2,,0.31,**,0.28,**,0.23,*,0.18,,,,-0.01,,0.15,,0.49,***,-0.15,,0.26,**,,,0.68,***,0.12,,,,,,-0.04,,,,0.19,,,,0.3,**,0.31,**,-0.17,,0.3,**,0.08,,0.55,***,0.1,,0.13,,0.13,,0.3,**,0.29,**,0.57,***
Invalid usage of inverse-functional properties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Is on a trusted provider list,-0.15,,0.0,,-0.19,,-0.12,,-0.18,,,,0.06,,-0.11,,0.06,,-0.11,,0.31,*,0.79,***,,,-0.02,,-0.05,,-0.24,,0.04,,0.04,,0.16,,0.43,,,,-0.32,*,0.02,,0.07,,-0.16,,,,1.0,***,,,0.11,,,,0.05,,0.14,,0.14,,0.35,*,0.37,*,0.03,,0.02,,-0.02,,-0.07,,0.17,,-0.07,,-0.11,,,,0.01,,0.15,,-0.34,,-0.04,,0.28,,0.34,*,-0.15,,0.06,,0.2,,,,0.1,,0.15,,0.3,*,0.27,,0.14,,,,0.01,,-0.08,,,,,,-0.13,,,,-0.01,,,,-0.29,*,-0.22,,0.21,,-0.04,,-0.31,*,-0.16,,-0.11,,-0.03,,-0.03,,-0.04,,0.07,,-0.13,
Languages (query),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
License human redeable,0.58,***,0.36,**,-0.19,,0.19,,0.29,*,,,-0.21,,0.21,,-0.21,,0.21,,-0.01,,0.32,*,,,-0.08,,0.17,,0.46,***,-0.12,,0.05,,-0.32,*,0.77,,,,-0.1,,-0.08,,0.22,,0.26,*,,,0.11,,,,1.0,***,,,0.87,***,0.38,*,0.16,,0.45,**,0.35,*,0.31,*,0.31,*,-0.6,***,-0.5,***,-0.4,**,0.32,*,0.34,**,,,0.59,***,0.54,***,-0.2,,0.6,***,0.53,***,0.63,***,0.58,***,0.25,,0.29,,,,0.19,,0.17,,0.44,***,-0.17,,0.19,,,,0.6,***,-0.09,,,,,,-0.27,,,,0.29,,,,-0.15,,-0.0,,-0.43,**,0.18,,0.08,,0.19,,-0.06,,0.37,**,0.37,**,0.44,***,0.19,,0.6,***
License machine redeable (metadata),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Licensing,0.07,,0.15,,0.03,,0.03,,0.24,*,,,-0.01,,0.01,,-0.01,,0.01,,0.19,,0.13,,,,0.04,,0.06,,0.13,,0.02,,-0.17,,0.04,,0.49,*,,,-0.23,*,0.05,,0.27,**,0.02,,,,0.05,,,,0.87,***,,,1.0,***,0.15,,0.27,*,0.32,**,0.01,,0.2,*,0.18,,-0.33,**,-0.3,*,-0.27,*,0.25,**,0.2,*,,,0.43,***,0.45,***,-0.46,**,-0.0,,0.31,**,0.4,***,0.07,,0.02,,0.4,***,,,0.18,,0.1,,0.34,***,-0.05,,-0.07,,,,0.43,***,-0.09,,,,,,-0.27,*,,,0.11,,,,-0.11,,-0.28,**,-0.06,,0.13,,-0.18,,0.04,,-0.05,,0.16,,0.16,,0.36,***,0.25,**,0.17,
Limited,0.51,***,0.29,**,-0.08,,0.32,*,0.07,,,,-0.08,,0.18,,-0.08,,0.18,,-0.33,**,0.16,,,,-0.41,***,0.12,,0.29,**,0.18,,0.14,,-0.2,,,,,,0.24,*,-0.45,***,-0.06,,0.02,,,,0.14,,,,0.38,*,,,0.15,,1.0,***,-0.09,,0.3,*,0.32,**,-0.08,,-0.07,,-0.39,***,-0.46,***,-0.18,,-0.09,,-0.11,,,,0.13,,0.45,***,0.55,**,0.49,***,0.47,***,0.46,***,0.51,***,0.13,,0.25,*,,,-0.2,,0.15,,0.16,,-0.25,*,0.16,,,,0.14,,0.01,,,,,,0.11,,,,0.09,,,,-0.15,,0.25,*,-0.34,**,-0.09,,0.33,**,0.16,,0.01,,0.37,***,0.37,***,0.08,,-0.18,,0.33,**
Max length URIs (object),-0.16,,-0.15,,0.16,,-0.04,,-0.04,,,,0.03,,-0.02,,0.03,,-0.02,,0.21,*,0.05,,,,0.13,,-0.28,**,-0.3,**,0.01,,-0.16,,0.07,,0.27,,,,-0.06,,0.12,,0.23,*,-0.01,,,,0.14,,,,0.16,,,,0.27,*,-0.09,,1.0,***,0.27,*,0.14,,0.24,*,0.25,*,-0.09,,-0.12,,-0.44,***,0.3,**,0.23,*,,,0.19,,-0.01,,-0.68,***,-0.28,**,0.02,,-0.07,,-0.16,,-0.36,***,0.01,,,,0.32,**,0.03,,0.25,*,0.04,,-0.3,**,,,0.19,,0.0,,,,,,-0.31,*,,,-0.35,**,,,-0.05,,-0.54,***,0.31,**,-0.08,,-0.42,***,-0.08,,-0.01,,-0.11,,-0.11,,0.22,*,0.51,***,0.01,
Max length URIs (predicate),0.21,,0.17,,0.4,***,0.17,,0.1,,,,-0.04,,0.34,**,-0.04,,0.34,**,0.05,,0.25,*,,,-0.04,,0.07,,0.34,**,-0.0,,-0.17,,-0.24,,1.0,***,,,0.0,,-0.07,,0.28,*,0.26,*,,,0.35,*,,,0.45,**,,,0.32,**,0.3,*,0.27,*,1.0,***,0.57,***,-0.08,,-0.05,,-0.52,***,-0.56,***,0.02,,-0.09,,-0.11,,,,0.41,***,0.43,***,0.6,*,0.3,*,0.72,***,0.51,***,0.21,,0.09,,0.61,***,,,0.08,,0.21,,0.38,***,-0.26,*,0.15,,,,0.41,***,-0.04,,,,,,0.24,,,,0.01,,,,-0.53,***,-0.26,*,-0.15,,0.23,,-0.31,**,0.32,**,-0.04,,0.49,***,0.49,***,0.37,**,0.24,*,0.35,**
Max length URIs (subject),0.32,**,0.1,,0.14,,0.34,**,0.19,,,,0.11,,0.46,***,0.11,,0.46,***,-0.05,,0.13,,,,-0.06,,0.06,,0.41,***,-0.07,,0.29,*,-0.48,***,0.0,,,,0.21,,-0.08,,0.16,,0.25,*,,,0.37,*,,,0.35,*,,,0.01,,0.32,**,0.14,,0.57,***,1.0,***,-0.07,,-0.05,,-0.51,***,-0.45,***,-0.13,,-0.07,,-0.01,,,,0.39,***,0.16,,-0.27,,0.44,***,0.56,***,0.38,***,0.32,**,0.14,,0.18,,,,-0.11,,0.05,,0.09,,-0.51,***,0.23,*,,,0.39,***,-0.06,,,,,,0.27,*,,,0.02,,,,-0.2,,0.04,,-0.41,***,0.21,,0.2,,0.31,**,-0.08,,0.27,*,0.27,*,0.27,*,0.2,,0.56,***
MaxTPNoOff,0.07,,0.12,,0.01,,0.06,,-0.0,,,,-0.22,*,-0.01,,-0.22,*,-0.01,,0.04,,0.23,*,,,0.06,,0.17,,0.16,,-0.13,,-0.0,,0.21,,-0.28,,,,-0.1,,0.08,,0.05,,0.17,,,,0.03,,,,0.31,*,,,0.2,*,-0.08,,0.24,*,-0.08,,-0.07,,1.0,***,0.98,***,-0.06,,0.09,,-0.27,*,0.95,***,0.9,***,,,0.41,***,0.13,,-0.49,**,0.14,,0.01,,0.09,,0.07,,0.09,,-0.17,,,,0.86,***,0.14,,0.31,***,0.1,,0.1,,,,0.41,***,-0.2,*,,,,,-0.46,***,,,-0.13,,,,-0.02,,0.05,,0.07,,0.21,,-0.26,**,0.12,,-0.18,,-0.06,,-0.06,,0.36,***,0.23,*,0.17,
Maximum throughput,0.08,,0.12,,0.04,,0.06,,-0.02,,,,-0.24,*,0.02,,-0.24,*,0.02,,0.02,,0.24,*,,,0.07,,0.16,,0.16,,-0.13,,0.02,,0.19,,-0.32,,,,-0.08,,0.08,,0.08,,0.19,*,,,0.02,,,,0.31,*,,,0.18,,-0.07,,0.25,*,-0.05,,-0.05,,0.98,***,1.0,***,-0.08,,0.08,,-0.28,**,0.94,***,0.89,***,,,0.43,***,0.14,,-0.47,**,0.15,,-0.01,,0.12,,0.08,,0.08,,-0.13,,,,0.85,***,0.16,,0.32,***,0.09,,0.11,,,,0.43,***,-0.19,,,,,,-0.42,***,,,-0.12,,,,-0.03,,0.05,,0.05,,0.21,,-0.25,**,0.15,,-0.17,,-0.04,,-0.04,,0.37,***,0.25,**,0.19,
Min length URIs (object),-0.48,***,0.0,,-0.19,,-0.22,,-0.49,***,,,0.18,,-0.25,*,0.18,,-0.25,*,0.21,*,-0.05,,,,0.35,**,-0.07,,-0.56,***,0.07,,-0.02,,0.4,***,0.79,***,,,-0.1,,0.4,***,0.06,,-0.34,**,,,-0.02,,,,-0.6,***,,,-0.33,**,-0.39,***,-0.09,,-0.52,***,-0.51,***,-0.06,,-0.08,,1.0,***,0.45,***,0.6,***,-0.09,,-0.16,,,,-0.49,***,-0.37,***,0.05,,-0.4,***,-0.37,**,-0.33,**,-0.48,***,0.08,,-0.55,***,,,0.06,,-0.05,,-0.25,*,0.3,**,0.07,,,,-0.49,***,0.15,,,,,,-0.11,,,,-0.24,*,,,0.09,,0.02,,0.43,***,-0.42,***,-0.3,**,-0.19,,0.14,,-0.59,***,-0.59,***,-0.14,,-0.03,,-0.55,***
Min length URIs (predicate),-0.46,***,-0.2,,0.04,,-0.41,**,0.08,,,,0.22,,-0.39,**,0.22,,-0.39,**,0.02,,-0.1,,,,0.12,,0.05,,-0.25,*,-0.04,,0.09,,0.42,**,-1.0,***,,,0.03,,0.14,,-0.07,,0.11,,,,-0.07,,,,-0.5,***,,,-0.3,*,-0.46,***,-0.12,,-0.56,***,-0.45,***,0.09,,0.08,,0.45,***,1.0,***,0.19,,0.1,,0.11,,,,-0.15,,-0.53,***,-0.16,,-0.44,***,-0.68,***,-0.51,***,-0.46,***,-0.04,,-0.34,*,,,-0.03,,-0.04,,-0.08,,0.31,**,-0.07,,,,-0.14,,0.13,,,,,,-0.27,,,,-0.13,,,,0.44,***,0.1,,0.4,**,-0.18,,-0.06,,-0.13,,0.13,,-0.39,***,-0.39,***,-0.21,,-0.08,,-0.21,
Min length URIs (subject),-0.28,*,0.14,,0.0,,0.08,,-0.08,,,,0.25,*,0.06,,0.25,*,0.06,,0.2,,0.11,,,,0.24,*,0.0,,-0.15,,-0.07,,0.22,,-0.16,,0.83,***,,,-0.03,,0.26,*,0.17,,-0.01,,,,0.17,,,,-0.4,**,,,-0.27,*,-0.18,,-0.44,***,0.02,,-0.13,,-0.27,*,-0.28,**,0.6,***,0.19,,1.0,***,-0.3,**,-0.35,**,,,-0.25,*,-0.44,***,0.19,,-0.04,,0.12,,0.04,,-0.28,*,0.36,***,-0.34,**,,,-0.25,*,0.03,,-0.15,,0.02,,0.32,**,,,-0.25,*,0.1,,,,,,0.18,,,,-0.11,,,,0.07,,0.23,*,0.04,,-0.21,,-0.03,,0.14,,0.13,,-0.4,***,-0.4,***,-0.11,,0.01,,-0.19,
MinTPNoOff,0.09,,0.16,,0.03,,0.1,,0.08,,,,-0.22,*,0.01,,-0.22,*,0.01,,0.1,,0.2,*,,,0.12,,0.22,*,0.23,*,-0.14,,-0.01,,0.12,,-0.34,,,,-0.16,,0.14,,0.11,,0.25,*,,,-0.07,,,,0.32,*,,,0.25,**,-0.09,,0.3,**,-0.09,,-0.07,,0.95,***,0.94,***,-0.09,,0.1,,-0.3,**,1.0,***,0.91,***,,,0.48,***,0.14,,-0.5,**,0.17,,0.02,,0.11,,0.09,,0.1,,-0.1,,,,0.82,***,0.08,,0.33,***,0.05,,0.1,,,,0.48,***,-0.25,**,,,,,-0.49,***,,,-0.13,,,,0.07,,0.01,,0.07,,0.2,,-0.27,**,0.14,,-0.24,*,-0.04,,-0.04,,0.39,***,0.29,**,0.22,*
Minimum throughput,0.16,,0.22,*,0.02,,0.11,,0.13,,,,-0.21,*,-0.01,,-0.21,*,-0.01,,0.08,,0.19,*,,,0.1,,0.27,**,0.31,***,-0.19,,0.04,,0.04,,-0.33,,,,-0.14,,0.12,,0.06,,0.25,**,,,-0.11,,,,0.34,**,,,0.2,*,-0.11,,0.23,*,-0.11,,-0.01,,0.9,***,0.89,***,-0.16,,0.11,,-0.35,**,0.91,***,1.0,***,,,0.49,***,0.13,,-0.46,**,0.22,*,0.02,,0.08,,0.16,,0.14,,-0.04,,,,0.78,***,0.1,,0.32,***,-0.03,,0.16,,,,0.49,***,-0.26,**,,,,,-0.53,***,,,-0.01,,,,0.16,,0.03,,0.04,,0.39,***,-0.19,,0.18,,-0.25,**,0.05,,0.05,,0.37,***,0.21,*,0.27,**
Modification date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Normalized,0.22,*,0.24,*,0.43,***,0.47,***,0.45,***,,,-0.17,,0.19,,-0.17,,0.19,,0.19,*,0.24,*,,,0.02,,0.42,***,0.62,***,-0.22,*,0.11,,-0.31,**,0.04,,,,-0.17,,-0.01,,0.39,***,0.68,***,,,0.01,,,,0.59,***,,,0.43,***,0.13,,0.19,,0.41,***,0.39,***,0.41,***,0.43,***,-0.49,***,-0.15,,-0.25,*,0.48,***,0.49,***,,,1.0,***,0.36,***,0.0,,0.45,***,0.4,***,0.41,***,0.22,*,0.2,*,0.36,**,,,0.31,**,0.28,**,0.63,***,-0.18,,0.21,*,,,1.0,***,0.02,,,,,,-0.21,,,,0.18,,,,-0.06,,0.03,,-0.2,,0.36,**,-0.06,,0.57,***,-0.0,,0.26,*,0.26,*,0.55,***,0.46,***,0.74,***
Number of blank nodes,0.51,***,0.3,**,-0.03,,0.25,*,0.06,,,,-0.38,***,0.22,*,-0.38,***,0.22,*,-0.04,,0.28,**,,,-0.28,**,0.15,,0.31,**,0.15,,-0.25,*,-0.1,,0.51,**,,,-0.09,,-0.3,**,0.1,,-0.04,,,,0.15,,,,0.54,***,,,0.45,***,0.45,***,-0.01,,0.43,***,0.16,,0.13,,0.14,,-0.37,***,-0.53,***,-0.44,***,0.14,,0.13,,,,0.36,***,1.0,***,0.07,,0.3,**,0.48,***,0.44,***,0.51,***,0.07,,0.5,***,,,0.17,,0.11,,0.32,***,-0.16,,0.07,,,,0.37,***,-0.15,,,,,,0.15,,,,0.3,**,,,-0.41,***,-0.14,,-0.15,,0.02,,-0.03,,0.1,,-0.17,,0.29,**,0.29,**,0.4,***,-0.14,,0.26,**
Number of entities,0.73,***,0.48,**,,,-0.05,,0.22,,,,0.16,,0.02,,0.16,,0.02,,-0.59,***,-0.09,,,,-0.4,*,0.88,***,0.76,***,0.28,,0.57,***,0.35,,-0.12,,,,0.5,**,-0.4,*,-0.65,***,0.44,**,,,-0.34,,,,-0.2,,,,-0.46,**,0.55,**,-0.68,***,0.6,*,-0.27,,-0.49,**,-0.47,**,0.05,,-0.16,,0.19,,-0.5,**,-0.46,**,,,0.0,,0.07,,1.0,***,0.62,***,0.02,,0.21,,0.73,***,0.51,**,0.27,,,,-0.51,**,-0.09,,-0.33,*,-0.63,***,0.64,***,,,0.0,,0.31,,,,,,0.31,,,,0.26,,,,0.1,,0.75,***,-0.62,***,,,0.68,***,0.27,,0.31,,0.51,**,0.51,**,-0.52,***,-0.82,***,0.43,**
Number of labels/comments present on the data,0.85,***,0.46,***,-0.1,,0.31,**,0.18,,,,-0.15,,0.45,***,-0.15,,0.45,***,-0.13,,0.34,***,,,-0.24,*,0.45,***,0.68,***,-0.37,***,0.53,***,-0.54,***,-0.33,,,,0.16,,-0.25,*,0.09,,0.52,***,,,-0.04,,,,0.6,***,,,-0.0,,0.49,***,-0.28,**,0.3,*,0.44,***,0.14,,0.15,,-0.4,***,-0.44,***,-0.04,,0.17,,0.22,*,,,0.45,***,0.3,**,0.62,***,1.0,***,0.52,***,0.67,***,0.85,***,0.47,***,0.19,,,,-0.04,,0.11,,0.07,,-0.46,***,0.55,***,,,0.45,***,0.0,,,,,,0.11,,,,0.3,**,,,0.07,,0.61,***,-0.6,***,0.23,*,0.44,***,0.58,***,-0.01,,0.43,***,0.43,***,0.26,**,0.02,,0.65,***
Number of property,0.55,***,0.24,*,-0.07,,0.4,***,,,,,-0.09,,0.31,**,-0.09,,0.31,**,0.03,,0.29,**,,,-0.17,,0.21,*,0.42,***,-0.18,,0.25,*,-0.36,**,0.47,*,,,-0.08,,-0.17,,0.16,,0.2,,,,0.28,,,,0.53,***,,,0.31,**,0.47,***,0.02,,0.72,***,0.56,***,0.01,,-0.01,,-0.37,**,-0.68,***,0.12,,0.02,,0.02,,,,0.4,***,0.48,***,0.02,,0.52,***,1.0,***,0.68,***,0.55,***,0.33,**,0.28,*,,,0.04,,-0.06,,0.21,*,-0.27,*,0.35,***,,,0.39,***,-0.13,,,,,,0.19,,,,0.04,,,,-0.39,***,0.07,,-0.51,***,0.29,*,0.02,,0.27,*,-0.14,,0.39,***,0.39,***,0.25,*,0.06,,0.38,***
