Number of samAs chains,0.59,***,0.37,***,-0.13,,0.15,,0.12,,,,-0.1,,0.42,***,-0.1,,0.42,***,0.03,,0.47,***,,,-0.09,,0.21,*,0.36,***,-0.18,,0.28,*,-0.23,*,0.9,***,,,-0.0,,-0.09,,0.47,***,0.31,**,,,0.34,*,,,0.63,***,,,0.4,***,0.46,***,-0.07,,0.51,***,0.38,***,0.09,,0.12,,-0.33,**,-0.51,***,0.04,,0.11,,0.08,,,,0.41,***,0.44,***,0.21,,0.67,***,0.68,***,1.0,***,0.59,***,0.42,***,0.43,***,,,0.02,,0.15,,0.25,*,-0.37,***,0.42,***,,,0.41,***,-0.02,,,,,,0.18,,,,0.27,*,,,-0.24,*,0.25,*,-0.55,***,0.2,,0.08,,0.39,***,-0.0,,0.35,***,0.35,***,0.36,***,0.19,,0.41,***
Number of triples (query),1.0,***,0.39,***,-0.36,***,0.25,*,0.04,,,,-0.22,*,0.35,***,-0.22,*,0.35,***,-0.32,***,0.25,*,,,-0.36,***,0.33,***,0.53,***,-0.05,,0.48,***,-0.45,***,-0.39,,,,0.2,*,-0.37,***,-0.13,,0.28,**,,,-0.15,,,,0.58,***,,,0.07,,0.51,***,-0.16,,0.21,,0.32,**,0.07,,0.08,,-0.48,***,-0.46,***,-0.28,*,0.09,,0.16,,,,0.22,*,0.51,***,0.73,***,0.85,***,0.55,***,0.59,***,1.0,***,0.29,**,0.36,**,,,-0.08,,0.03,,-0.06,,-0.48,***,0.34,***,,,0.21,*,0.04,,,,,,0.07,,,,0.33,**,,,0.06,,0.42,***,-0.6,***,0.28,*,0.54,***,0.24,*,0.04,,0.48,***,0.48,***,0.15,,-0.26,**,0.45,***
Number of triples linked,0.29,**,0.68,***,-0.09,,0.03,,0.09,,,,0.16,,0.3,**,0.16,,0.3,**,0.08,,0.39,***,,,0.25,**,0.38,***,0.34,***,-0.32,***,0.58,***,-0.22,*,0.1,,,,0.03,,0.3,**,0.08,,0.23,*,,,0.06,,,,0.25,,,,0.02,,0.13,,-0.36,***,0.09,,0.14,,0.09,,0.08,,0.08,,-0.04,,0.36,***,0.1,,0.14,,,,0.2,*,0.07,,0.51,**,0.47,***,0.33,**,0.42,***,0.29,**,1.0,***,0.02,,,,-0.02,,0.17,,-0.08,,-0.26,**,0.88,***,,,0.19,*,-0.04,,,,,,0.13,,,,0.09,,,,0.17,,0.38,***,-0.28,**,0.15,,0.07,,0.35,***,-0.03,,0.15,,0.15,,0.21,*,-0.03,,0.17,
Number of triples updated,0.36,**,0.24,*,0.18,,-0.19,,0.51,***,,,-0.16,,0.09,,-0.16,,0.09,,0.01,,0.25,*,,,-0.21,,0.18,,0.39,***,0.1,,-0.02,,-0.05,,0.8,***,,,-0.1,,-0.24,*,0.13,,0.18,,,,0.2,,,,0.29,,,,0.4,***,0.25,*,0.01,,0.61,***,0.18,,-0.17,,-0.13,,-0.55,***,-0.34,*,-0.34,**,-0.1,,-0.04,,,,0.36,**,0.5,***,0.27,,0.19,,0.28,*,0.43,***,0.36,**,0.02,,1.0,***,,,-0.12,,0.05,,0.35,**,-0.24,*,0.03,,,,0.37,***,-0.15,,,,,,0.02,,,,0.33,**,,,-0.2,,-0.22,,-0.17,,0.32,**,0.11,,0.05,,-0.17,,0.48,***,0.48,***,0.2,,-0.1,,0.24,*
Ontology Hijacking problem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance,-0.08,,0.1,,0.01,,0.03,,-0.13,,,,-0.17,,-0.06,,-0.17,,-0.06,,0.17,,0.22,*,,,0.12,,0.11,,0.04,,-0.08,,-0.14,,0.27,*,0.33,,,,-0.24,*,0.13,,0.07,,-0.01,,,,0.1,,,,0.19,,,,0.18,,-0.2,,0.32,**,0.08,,-0.11,,0.86,***,0.85,***,0.06,,-0.03,,-0.25,*,0.82,***,0.78,***,,,0.31,**,0.17,,-0.51,**,-0.04,,0.04,,0.02,,-0.08,,-0.02,,-0.12,,,,1.0,***,0.06,,0.32,***,0.19,*,-0.01,,,,0.31,**,-0.31,***,,,,,-0.39,***,,,-0.22,*,,,-0.14,,-0.16,,0.21,,0.22,,-0.38,***,0.01,,-0.3,**,-0.09,,-0.09,,0.3,**,0.23,*,0.0,
Presence of example,0.03,,0.12,,0.11,,0.07,,0.09,,,,-0.24,*,0.12,,-0.24,*,0.12,,-0.16,,0.31,**,,,0.04,,0.02,,0.16,,-0.23,*,0.13,,-0.06,,-0.03,,,,0.16,,0.05,,0.03,,0.15,,,,0.15,,,,0.17,,,,0.1,,0.15,,0.03,,0.21,,0.05,,0.14,,0.16,,-0.05,,-0.04,,0.03,,0.08,,0.1,,,,0.28,**,0.11,,-0.09,,0.11,,-0.06,,0.15,,0.03,,0.17,,0.05,,,,0.06,,1.0,***,0.25,**,0.06,,0.18,,,,0.28,**,0.26,**,,,,,0.02,,,,0.14,,,,-0.11,,0.09,,0.05,,-0.05,,-0.05,,0.67,***,0.28,**,-0.07,,-0.07,,0.32,***,-0.03,,0.13,
Rep. Conciseness,-0.06,,0.05,,0.45,***,0.05,,0.13,,,,-0.28,**,-0.07,,-0.28,**,-0.07,,0.21,*,0.29,**,,,-0.01,,0.17,,0.23,*,-0.17,,-0.24,*,0.21,,0.41,*,,,-0.25,*,-0.05,,0.35,***,0.49,***,,,0.3,*,,,0.44,***,,,0.34,***,0.16,,0.25,*,0.38,***,0.09,,0.31,***,0.32,***,-0.25,*,-0.08,,-0.15,,0.33,***,0.32,***,,,0.63,***,0.32,***,-0.33,*,0.07,,0.21,*,0.25,*,-0.06,,-0.08,,0.35,**,,,0.32,***,0.25,**,1.0,***,0.21,*,-0.07,,,,0.63,***,-0.02,,,,,,-0.25,*,,,0.12,,,,-0.08,,-0.18,,0.27,**,-0.05,,-0.38,***,0.32,***,-0.05,,-0.12,,-0.12,,0.4,***,0.32,***,0.31,**
Interoperability,-0.48,***,-0.22,*,-0.01,,-0.45,***,-0.16,,,,-0.13,,-0.68,***,-0.13,,-0.68,***,0.07,,-0.02,,,,0.21,*,-0.26,**,-0.41,***,0.07,,-0.35,**,0.63,***,-0.0,,,,-0.39,***,0.22,*,-0.1,,-0.15,,,,0.27,,,,-0.17,,,,-0.05,,-0.25,*,0.04,,-0.26,*,-0.51,***,0.1,,0.09,,0.3,**,0.31,**,0.02,,0.05,,-0.03,,,,-0.18,,-0.16,,-0.63,***,-0.46,***,-0.27,*,-0.37,***,-0.48,***,-0.26,**,-0.24,*,,,0.19,*,0.06,,0.21,*,1.0,***,-0.32,***,,,-0.18,,-0.02,,,,,,-0.26,*,,,-0.02,,,,-0.19,,-0.3,**,0.51,***,-0.33,**,-0.47,***,-0.36,***,-0.03,,-0.3,**,-0.3,**,-0.2,*,-0.17,,-0.51,***
Reputation,0.34,***,0.6,***,-0.03,,0.04,,0.05,,,,0.11,,0.33,***,0.11,,0.33,***,0.0,,0.4,***,,,0.19,*,0.44,***,0.4,***,-0.35,***,0.67,***,-0.25,*,-0.19,,,,0.09,,0.22,*,0.08,,0.26,**,,,0.14,,,,0.19,,,,-0.07,,0.16,,-0.3,**,0.15,,0.23,*,0.1,,0.11,,0.07,,-0.07,,0.32,**,0.1,,0.16,,,,0.21,*,0.07,,0.64,***,0.55,***,0.35,***,0.42,***,0.34,***,0.88,***,0.03,,,,-0.01,,0.18,,-0.07,,-0.32,***,1.0,***,,,0.2,*,0.02,,,,,,0.09,,,,0.05,,,,0.16,,0.39,***,-0.33,**,0.17,,0.14,,0.38,***,0.01,,0.19,,0.19,,0.25,**,-0.03,,0.2,*
Requires authentication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Score,0.21,*,0.24,*,0.43,***,0.46,***,0.45,***,,,-0.17,,0.19,,-0.17,,0.19,,0.19,*,0.25,**,,,0.02,,0.43,***,0.62,***,-0.22,*,0.1,,-0.3,**,0.04,,,,-0.17,,-0.01,,0.39,***,0.68,***,,,0.01,,,,0.6,***,,,0.43,***,0.14,,0.19,,0.41,***,0.39,***,0.41,***,0.43,***,-0.49,***,-0.14,,-0.25,*,0.48,***,0.49,***,,,1.0,***,0.37,***,0.0,,0.45,***,0.39,***,0.41,***,0.21,*,0.19,*,0.37,***,,,0.31,**,0.28,**,0.63,***,-0.18,,0.2,*,,,1.0,***,0.01,,,,,,-0.21,,,,0.18,,,,-0.06,,0.03,,-0.2,,0.36,**,-0.06,,0.57,***,-0.0,,0.26,*,0.26,*,0.55,***,0.46,***,0.74,***
Security,0.04,,-0.2,*,0.05,,0.09,,-0.1,,,,-0.04,,0.03,,-0.04,,0.03,,-0.33,***,-0.09,,,,-0.05,,-0.07,,-0.15,,0.2,*,0.2,,-0.0,,-0.53,**,,,0.35,***,-0.08,,-0.02,,0.12,,,,-0.08,,,,-0.09,,,,-0.09,,0.01,,0.0,,-0.04,,-0.06,,-0.2,*,-0.19,,0.15,,0.13,,0.1,,-0.25,**,-0.26,**,,,0.02,,-0.15,,0.31,,0.0,,-0.13,,-0.02,,0.04,,-0.04,,-0.15,,,,-0.31,***,0.26,**,-0.02,,-0.02,,0.02,,,,0.01,,1.0,***,,,,,0.29,*,,,-0.03,,,,-0.09,,0.22,*,-0.02,,-0.15,,0.27,**,0.16,,1.0,***,-0.17,,-0.17,,-0.04,,-0.11,,0.06,
Signed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sparql endpoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time elapsed since last modification,0.07,,-0.04,,0.17,,0.13,,-0.12,,,,0.21,,0.48,***,0.21,,0.48,***,-0.05,,-0.12,,,,-0.16,,-0.06,,0.11,,,,0.06,,-0.27,*,-0.24,,,,0.25,*,-0.18,,0.19,,-0.04,,,,-0.13,,,,-0.27,,,,-0.27,*,0.11,,-0.31,*,0.24,,0.27,*,-0.46,***,-0.42,***,-0.11,,-0.27,,0.18,,-0.49,***,-0.53,***,,,-0.21,,0.15,,0.31,,0.11,,0.19,,0.18,,0.07,,0.13,,0.02,,,,-0.39,***,0.02,,-0.25,*,-0.26,*,0.09,,,,-0.21,,0.29,*,,,,,1.0,***,,,-0.03,,,,-0.48,***,0.09,,-0.53,***,,,0.18,,0.21,,0.27,*,0.19,,0.19,,-0.15,,-0.19,,0.07,
Triples with empty annotation problem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triples with malformed data type literals problem,0.33,**,0.08,,-0.09,,0.05,,0.41,***,,,-0.05,,-0.01,,-0.05,,-0.01,,-0.08,,0.1,,,,-0.29,**,-0.12,,0.22,*,0.0,,0.11,,-0.18,,,,,,-0.11,,-0.29,*,-0.03,,0.19,,,,-0.01,,,,0.29,,,,0.11,,0.09,,-0.35,**,0.01,,0.02,,-0.13,,-0.12,,-0.24,*,-0.13,,-0.11,,-0.13,,-0.01,,,,0.18,,0.3,**,0.26,,0.3,**,0.04,,0.27,*,0.33,**,0.09,,0.33,**,,,-0.22,*,0.14,,0.12,,-0.02,,0.05,,,,0.18,,-0.03,,,,,,-0.03,,,,1.0,***,,,-0.11,,0.23,*,-0.3,**,0.17,,0.32,**,0.14,,-0.03,,0.21,,0.21,,-0.03,,-0.14,,0.23,*
Triples with misplaced class problem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,
Triples with misplaced property problem,0.06,,0.01,,,,-0.06,,0.19,,,,0.04,,0.07,,0.04,,0.07,,0.02,,-0.11,,,,0.17,,0.24,*,0.19,,-0.38,***,0.35,**,-0.16,,-0.49,*,,,0.12,,0.17,,-0.08,,0.3,**,,,-0.29,*,,,-0.15,,,,-0.11,,-0.15,,-0.05,,-0.53,***,-0.2,,-0.02,,-0.03,,0.09,,0.44,***,0.07,,0.07,,0.16,,,,-0.06,,-0.41,***,0.1,,0.07,,-0.39,***,-0.24,*,0.06,,0.17,,-0.2,,,,-0.14,,-0.11,,-0.08,,-0.19,,0.16,,,,-0.06,,-0.09,,,,,,-0.48,***,,,-0.11,,,,1.0,***,0.25,*,0.19,,-0.11,,0.24,*,0.17,,-0.09,,-0.19,,-0.19,,-0.08,,0.05,,-0.0,
Triples with white space in annotation(at the beginning or at the end),0.42,***,0.17,,-0.09,,0.15,,0.08,,,,-0.08,,0.26,*,-0.08,,0.26,*,-0.39,***,0.02,,,,-0.11,,0.16,,0.4,***,-0.03,,0.42,***,-0.21,,-0.4,,,,0.33,**,-0.11,,-0.18,,0.31,**,,,-0.22,,,,-0.0,,,,-0.28,**,0.25,*,-0.54,***,-0.26,*,0.04,,0.05,,0.05,,0.02,,0.1,,0.23,*,0.01,,0.03,,,,0.03,,-0.14,,0.75,***,0.61,***,0.07,,0.25,*,0.42,***,0.38,***,-0.22,,,,-0.16,,0.09,,-0.18,,-0.3,**,0.39,***,,,0.03,,0.22,*,,,,,0.09,,,,0.23,*,,,0.25,*,1.0,***,-0.44,***,0.06,,0.59,***,0.37,***,0.24,*,0.03,,0.03,,-0.07,,-0.27,*,0.32,**
URIs Deferenceability,-0.6,***,-0.11,,0.1,,-0.35,**,-0.22,*,,,-0.22,*,-0.45,***,-0.22,*,-0.45,***,0.29,**,0.05,,,,0.37,***,-0.26,*,-0.61,***,0.03,,-0.37,**,0.52,***,1.0,***,,,-0.21,*,0.37,***,0.01,,-0.17,,,,0.21,,,,-0.43,**,,,-0.06,,-0.34,**,0.31,**,-0.15,,-0.41,***,0.07,,0.05,,0.43,***,0.4,**,0.04,,0.07,,0.04,,,,-0.2,,-0.15,,-0.62,***,-0.6,***,-0.51,***,-0.55,***,-0.6,***,-0.28,**,-0.17,,,,0.21,,0.05,,0.27,**,0.51,***,-0.33,**,,,-0.2,,-0.02,,,,,,-0.53,***,,,-0.3,**,,,0.19,,-0.44,***,1.0,***,-0.34,**,-0.65,***,-0.25,*,-0.04,,-0.46,***,-0.46,***,-0.1,,0.08,,-0.55,***
Undefined class used without declaration,0.28,*,0.14,,,,,,0.41,***,,,0.01,,0.1,,0.01,,0.1,,-0.09,,-0.01,,,,-0.0,,0.25,*,0.41,***,-0.3,**,0.15,,-0.1,,,,,,-0.02,,0.0,,0.05,,0.3,**,,,-0.04,,,,0.18,,,,0.13,,-0.09,,-0.08,,0.23,,0.21,,0.21,,0.21,,-0.42,***,-0.18,,-0.21,,0.2,,0.39,***,,,0.36,**,0.02,,,,0.23,*,0.29,*,0.2,,0.28,*,0.15,,0.32,**,,,0.22,,-0.05,,-0.05,,-0.33,**,0.17,,,,0.36,**,-0.15,,,,,,,,,,0.17,,,,-0.11,,0.06,,-0.34,**,1.0,***,0.16,,0.08,,-0.15,,0.68,***,0.68,***,0.26,*,0.02,,0.28,*
Undefined properties used without declaration,0.54,***,0.02,,-0.11,,0.37,**,0.2,*,,,0.11,,0.16,,0.11,,0.16,,-0.36,***,-0.2,*,,,-0.45,***,0.11,,0.31,**,0.16,,0.49,***,-0.48,***,-0.8,***,,,0.31,**,-0.47,***,-0.28,**,0.08,,,,-0.31,*,,,0.08,,,,-0.18,,0.33,**,-0.42,***,-0.31,**,0.2,,-0.26,**,-0.25,**,-0.3,**,-0.06,,-0.03,,-0.27,**,-0.19,,,,-0.06,,-0.03,,0.68,***,0.44,***,0.02,,0.08,,0.54,***,0.07,,0.11,,,,-0.38,***,-0.05,,-0.38,***,-0.47,***,0.14,,,,-0.06,,0.27,**,,,,,0.18,,,,0.32,**,,,0.24,*,0.59,***,-0.65,***,0.16,,1.0,***,0.14,,0.27,**,0.24,*,0.24,*,-0.24,*,-0.31,**,0.36,***
Understandability,0.24,*,0.22,*,0.38,***,0.54,***,0.24,*,,,-0.2,*,0.6,***,-0.2,*,0.6,***,-0.04,,0.25,**,,,-0.0,,0.27,**,0.57,***,-0.48,***,0.4,***,-0.59,***,0.01,,,,0.22,*,-0.03,,0.28,**,0.55,***,,,-0.16,,,,0.19,,,,0.04,,0.16,,-0.08,,0.32,**,0.31,**,0.12,,0.15,,-0.19,,-0.13,,0.14,,0.14,,0.18,,,,0.57,***,0.1,,0.27,,0.58,***,0.27,*,0.39,***,0.24,*,0.35,***,0.05,,,,0.01,,0.67,***,0.32,***,-0.36,***,0.38,***,,,0.57,***,0.16,,,,,,0.21,,,,0.14,,,,0.17,,0.37,***,-0.25,*,0.08,,0.14,,1.0,***,0.16,,0.09,,0.09,,0.45,***,0.24,*,0.56,***
Use HTTPS,0.04,,-0.18,,0.0,,0.07,,-0.09,,,,-0.02,,0.05,,-0.02,,0.05,,-0.31,***,-0.09,,,,-0.06,,-0.06,,-0.15,,0.2,*,0.18,,0.01,,-0.53,**,,,0.34,***,-0.08,,-0.04,,0.1,,,,-0.11,,,,-0.06,,,,-0.05,,0.01,,-0.01,,-0.04,,-0.08,,-0.18,,-0.17,,0.14,,0.13,,0.13,,-0.24,*,-0.25,**,,,-0.0,,-0.17,,0.31,,-0.01,,-0.14,,-0.0,,0.04,,-0.03,,-0.17,,,,-0.3,**,0.28,**,-0.05,,-0.03,,0.01,,,,-0.0,,1.0,***,,,,,0.27,*,,,-0.03,,,,-0.09,,0.24,*,-0.04,,-0.15,,0.27,**,0.16,,1.0,***,-0.16,,-0.16,,-0.01,,-0.11,,0.05,
Use RDF structures,0.48,***,0.27,**,0.04,,0.07,,0.23,*,,,-0.0,,0.15,,-0.0,,0.15,,-0.12,,0.02,,,,-0.22,*,0.24,*,0.49,***,-0.11,,0.07,,-0.16,,,,,,-0.01,,-0.23,*,-0.05,,0.13,,,,-0.03,,,,0.37,**,,,0.16,,0.37,***,-0.11,,0.49,***,0.27,*,-0.06,,-0.04,,-0.59,***,-0.39,***,-0.4,***,-0.04,,0.05,,,,0.26,*,0.29,**,0.51,**,0.43,***,0.39,***,0.35,***,0.48,***,0.15,,0.48,***,,,-0.09,,-0.07,,-0.12,,-0.3,**,0.19,,,,0.26,*,-0.17,,,,,,0.19,,,,0.21,,,,-0.19,,0.03,,-0.46,***,0.68,***,0.24,*,0.09,,-0.16,,1.0,***,1.0,***,0.1,,-0.08,,0.35,***
Uses RDF structures,0.48,***,0.27,**,0.04,,0.07,,0.23,*,,,-0.0,,0.15,,-0.0,,0.15,,-0.12,,0.02,,,,-0.22,*,0.24,*,0.49,***,-0.11,,0.07,,-0.16,,,,,,-0.01,,-0.23,*,-0.05,,0.13,,,,-0.03,,,,0.37,**,,,0.16,,0.37,***,-0.11,,0.49,***,0.27,*,-0.06,,-0.04,,-0.59,***,-0.39,***,-0.4,***,-0.04,,0.05,,,,0.26,*,0.29,**,0.51,**,0.43,***,0.39,***,0.35,***,0.48,***,0.15,,0.48,***,,,-0.09,,-0.07,,-0.12,,-0.3,**,0.19,,,,0.26,*,-0.17,,,,,,0.19,,,,0.21,,,,-0.19,,0.03,,-0.46,***,0.68,***,0.24,*,0.09,,-0.16,,1.0,***,1.0,***,0.1,,-0.08,,0.35,***
Verifiability,0.15,,0.32,***,0.23,*,0.05,,0.13,,,,-0.25,**,0.38,***,-0.25,**,0.38,***,0.07,,0.31,**,,,0.17,,0.22,*,0.37,***,-0.37,***,-0.08,,-0.21,,0.53,**,,,-0.11,,0.17,,0.32,***,0.3,**,,,-0.04,,,,0.44,***,,,0.36,***,0.08,,0.22,*,0.37,**,0.27,*,0.36,***,0.37,***,-0.14,,-0.21,,-0.11,,0.39,***,0.37,***,,,0.55,***,0.4,***,-0.52,***,0.26,**,0.25,*,0.36,***,0.15,,0.21,*,0.2,,,,0.3,**,0.32,***,0.4,***,-0.2,*,0.25,**,,,0.55,***,-0.04,,,,,,-0.15,,,,-0.03,,,,-0.08,,-0.07,,-0.1,,0.26,*,-0.24,*,0.45,***,-0.01,,0.1,,0.1,,1.0,***,0.27,**,0.29,**
Versatility,-0.26,**,-0.16,,0.29,**,0.23,*,0.09,,,,0.32,***,0.25,*,0.32,***,0.25,*,0.49,***,0.08,,,,0.23,*,0.03,,-0.03,,-0.24,*,-0.1,,-0.1,,0.4,*,,,-0.18,,0.22,*,0.54,***,0.29,**,,,0.07,,,,0.19,,,,0.25,**,-0.18,,0.51,***,0.24,*,0.2,,0.23,*,0.25,**,-0.03,,-0.08,,0.01,,0.29,**,0.21,*,,,0.46,***,-0.14,,-0.82,***,0.02,,0.06,,0.19,,-0.26,**,-0.03,,-0.1,,,,0.23,*,-0.03,,0.32,***,-0.17,,-0.03,,,,0.46,***,-0.11,,,,,,-0.19,,,,-0.14,,,,0.05,,-0.27,*,0.08,,0.02,,-0.31,**,0.24,*,-0.11,,-0.08,,-0.08,,0.27,**,1.0,***,0.32,***
Timeliness,0.45,***,0.17,,0.25,**,0.71,***,0.38,***,,,-0.12,,0.41,***,-0.12,,0.41,***,-0.1,,0.1,,,,-0.33,***,0.39,***,0.64,***,-0.12,,0.3,**,-0.61,***,-0.51,**,,,0.2,*,-0.36,***,0.2,*,0.57,***,,,-0.13,,,,0.6,***,,,0.17,,0.33,**,0.01,,0.35,**,0.56,***,0.17,,0.19,,-0.55,***,-0.21,,-0.19,,0.22,*,0.27,**,,,0.74,***,0.26,**,0.43,**,0.65,***,0.38,***,0.41,***,0.45,***,0.17,,0.24,*,,,0.0,,0.13,,0.31,**,-0.51,***,0.2,*,,,0.74,***,0.06,,,,,,0.07,,,,0.23,*,,,-0.0,,0.32,**,-0.55,***,0.28,*,0.36,***,0.56,***,0.05,,0.35,***,0.35,***,0.29,**,0.32,***,1.0,***
