,Number of triples,Number of triples_p-value,Number of triples (metadata),Number of triples (metadata)_p-value,Accuracy,Accuracy_p-value,Age of data,Age of data_p-value,Amount of data,Amount of data_p-value,Author (metadata),Author (metadata)_p-value,Availability for download (metadata),Availability for download (metadata)_p-value,Availability for download (query),Availability for download (query)_p-value,Availability of RDF dump (metadata),Availability of RDF dump (metadata)_p-value,Availability of RDF dump (query),Availability of RDF dump (query)_p-value,Availability,Availability_p-value,Believability,Believability_p-value,Clustering coefficient,Clustering coefficient_p-value,Completeness,Completeness_p-value,Conciseness,Conciseness_p-value,Consistency,Consistency_p-value,Currency,Currency_p-value,Degree of connection,Degree of connection_p-value,Deprecated classes/properties used,Deprecated classes/properties used_p-value,Description,Description_p-value,Entities as member of disjoint class,Entities as member of disjoint class_p-value,Functional properties with inconsistent values,Functional properties with inconsistent values_p-value,Inactive links,Inactive links_p-value,Interlinking completeness,Interlinking completeness_p-value,Interlinking,Interlinking_p-value,Interpretability,Interpretability_p-value,Invalid usage of inverse-functional properties,Invalid usage of inverse-functional properties_p-value,Is on a trusted provider list,Is on a trusted provider list_p-value,Languages (query),Languages (query)_p-value,License human redeable,License human redeable_p-value,License machine redeable (metadata),License machine redeable (metadata)_p-value,Licensing,Licensing_p-value,Limited,Limited_p-value,Max length URIs (object),Max length URIs (object)_p-value,Max length URIs (predicate),Max length URIs (predicate)_p-value,Max length URIs (subject),Max length URIs (subject)_p-value,MaxTPNoOff,MaxTPNoOff_p-value,Maximum throughput,Maximum throughput_p-value,Min length URIs (object),Min length URIs (object)_p-value,Min length URIs (predicate),Min length URIs (predicate)_p-value,Min length URIs (subject),Min length URIs (subject)_p-value,MinTPNoOff,MinTPNoOff_p-value,Minimum throughput,Minimum throughput_p-value,Modification date,Modification date_p-value,Normalized,Normalized_p-value,Number of blank nodes,Number of blank nodes_p-value,Number of entities,Number of entities_p-value,Number of entities counted with regex,Number of entities counted with regex_p-value,Number of labels/comments present on the data,Number of labels/comments present on the data_p-value,Number of property,Number of property_p-value,Number of samAs chains,Number of samAs chains_p-value,Number of triples (query),Number of triples (query)_p-value,Number of triples linked,Number of triples linked_p-value,Number of triples updated,Number of triples updated_p-value,Ontology Hijacking problem,Ontology Hijacking problem_p-value,Performance,Performance_p-value,Presence of example,Presence of example_p-value,Rep. Conciseness,Rep. Conciseness_p-value,Interoperability,Interoperability_p-value,Reputation,Reputation_p-value,Requires authentication,Requires authentication_p-value,Score,Score_p-value,Security,Security_p-value,Signed,Signed_p-value,Sparql endpoint,Sparql endpoint_p-value,Time elapsed since last modification,Time elapsed since last modification_p-value,Triples with empty annotation problem,Triples with empty annotation problem_p-value,Triples with malformed data type literals problem,Triples with malformed data type literals problem_p-value,Triples with misplaced class problem,Triples with misplaced class problem_p-value,Triples with misplaced property problem,Triples with misplaced property problem_p-value,Triples with white space in annotation(at the beginning or at the end),Triples with white space in annotation(at the beginning or at the end)_p-value,URIs Deferenceability,URIs Deferenceability_p-value,Undefined class used without declaration,Undefined class used without declaration_p-value,Undefined properties used without declaration,Undefined properties used without declaration_p-value,Understandability,Understandability_p-value,Use HTTPS,Use HTTPS_p-value,Use RDF structures,Use RDF structures_p-value,Uses RDF structures,Uses RDF structures_p-value,Verifiability,Verifiability_p-value,Versatility,Versatility_p-value,Timeliness,Timeliness_p-value
Number of triples,1.0,***,0.94,***,0.4,***,0.43,***,0.38,***,,,0.3,***,0.04,,0.3,***,0.04,,0.04,,0.36,***,,,0.15,***,0.41,***,0.4,***,-0.37,***,0.0,,-0.5,***,,,-0.61,***,,,0.22,***,0.29,***,0.39,***,0.39,***,,,-0.13,***,,,0.51,***,,,0.46,***,0.43,***,-0.3,***,0.27,**,-0.04,,-0.1,,-0.1,,-0.32,***,-0.57,***,0.2,*,-0.1,,0.01,,,,0.61,***,0.43,***,0.52,***,,,0.87,***,0.68,***,0.68,***,1.0,***,0.61,***,-0.03,,,,0.41,***,0.19,***,0.39,***,0.42,***,0.45,***,,,0.6,***,0.41,***,,,0.63,***,-0.22,*,,,0.25,**,,,-0.04,,0.56,***,-0.3,***,0.16,,0.61,***,0.32,***,0.24,**,0.36,***,0.36,***,0.53,***,0.29,***,0.27,***
Number of triples (metadata),0.94,***,1.0,***,0.19,***,0.13,,0.2,***,,,0.27,***,-0.02,,0.27,***,-0.02,,-0.07,**,0.4,***,,,0.12,***,0.22,***,0.22,***,-0.2,***,0.02,,-0.23,**,,,0.06,,,,0.21,***,0.35,***,0.19,***,0.21,***,,,-0.12,***,,,0.28,**,,,0.43,***,0.29,***,-0.24,**,0.07,,0.0,,0.02,,0.01,,-0.0,,-0.01,,0.27,**,0.05,,0.11,,,,0.52,***,0.19,*,0.34,*,,,0.45,***,0.35,***,0.34,***,0.46,***,0.65,***,0.03,,,,0.19,***,0.19,***,0.21,***,0.21,***,0.49,***,,,0.51,***,0.19,***,,,0.24,***,-0.12,,,,0.09,,,,0.07,,0.24,**,-0.05,,0.09,,0.2,*,0.27,***,-0.14,,0.17,*,0.17,*,0.46,***,0.13,***,0.15,***
Accuracy,0.4,***,0.19,***,1.0,***,0.07,,0.91,***,,,0.28,***,-0.08,,0.28,***,-0.08,,0.49,***,-0.05,*,,,0.44,***,0.92,***,0.93,***,-0.9,***,-0.01,,-0.13,,,,0.09,,,,-0.02,,-0.11,***,0.96,***,0.96,***,,,-0.11,***,,,-0.21,*,,,0.19,***,-0.06,,0.15,,0.37,***,0.24,**,0.13,,0.13,,-0.18,*,0.08,,-0.21,*,0.13,,0.11,,,,0.47,***,-0.16,*,0.11,,,,0.08,,-0.02,,0.05,,-0.27,***,0.16,***,0.07,,,,0.96,***,0.01,,0.96,***,0.9,***,0.08,**,,,0.48,***,0.96,***,,,0.94,***,0.14,,,,-0.06,,,,,,0.01,,0.07,,,,-0.17,*,0.32,***,-0.06,,0.12,,0.12,,0.42,***,0.65,***,0.55,***
Age of data,0.43,***,0.13,,0.07,,1.0,***,-0.06,,,,-0.13,,0.21,*,-0.13,,0.21,*,-0.15,,0.24,**,,,-0.22,*,-0.13,,0.4,***,,,0.37,***,-0.72,***,,,0.11,,,,0.17,,-0.24,**,0.16,,0.19,*,,,0.02,,,,0.33,**,,,0.15,,0.17,,-0.18,,0.25,*,-0.05,,-0.15,,-0.16,,-0.2,*,-0.46,***,0.26,**,-0.13,,-0.07,,,,0.47,***,0.08,,0.27,,,,0.49,***,0.45,***,0.31,***,0.43,***,0.13,,-0.52,***,,,-0.16,,0.28,**,-0.33,***,-0.51,***,0.23,*,,,0.47,***,0.32,***,,,,,0.03,,,,-0.1,,,,-0.03,,0.51,***,-0.09,,,,0.46,***,0.58,***,0.32,***,-0.03,,-0.03,,0.45,***,-0.16,,0.69,***
Amount of data,0.38,***,0.2,***,0.91,***,-0.06,,1.0,***,,,0.28,***,-0.37,***,0.28,***,-0.37,***,0.46,***,-0.06,**,,,0.42,***,0.87,***,0.88,***,-0.84,***,-0.01,,-0.23,**,,,0.2,,,,-0.04,,-0.1,***,0.89,***,0.88,***,,,-0.12,***,,,0.07,,,,0.2,***,0.1,,0.05,,0.04,,0.21,*,0.03,,0.04,,-0.47,***,0.17,,-0.28,***,0.16,*,0.23,**,,,0.46,***,0.11,,0.15,,,,0.05,,0.03,,0.07,,-0.01,,0.18,***,0.37,***,,,0.9,***,0.01,,0.87,***,0.85,***,0.08,***,,,0.46,***,0.91,***,,,0.88,***,-0.08,,,,0.35,***,,,0.28,***,0.02,,-0.17,,0.38,***,0.05,,0.3,***,-0.17,*,0.26,**,0.26,**,0.4,***,0.61,***,0.58,***
Author (metadata),,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Availability for download (metadata),0.3,***,0.27,***,0.28,***,-0.13,,0.28,***,,,1.0,***,0.05,,1.0,***,0.05,,0.24,***,-0.02,,,,0.15,***,0.26,***,0.25,***,-0.27,***,-0.24,***,0.07,,,,-0.33,*,,,0.05,*,0.06,**,0.28,***,0.25,***,,,-0.26,***,,,-0.12,,,,0.25,***,-0.0,,0.14,,-0.07,,0.18,*,-0.13,,-0.13,,0.09,,0.21,*,0.05,,-0.11,,-0.14,,,,0.32,***,-0.16,*,-0.25,,,,-0.2,*,-0.15,,-0.13,,-0.2,*,0.19,***,-0.05,,,,0.28,***,-0.03,,0.25,***,0.31,***,0.07,**,,,0.32,***,0.29,***,,,0.4,***,0.3,***,,,0.01,,,,0.08,,-0.2,*,-0.17,*,0.02,,0.03,,0.09,***,-0.08,,0.02,,0.02,,0.29,***,0.3,***,0.15,***
Availability for download (query),0.04,,-0.02,,-0.08,,0.21,*,-0.37,***,,,0.05,,1.0,***,0.05,,1.0,***,0.36,***,0.28,***,,,0.0,,-0.35,***,-0.27,***,-0.13,,-0.11,,-0.06,,,,0.7,***,,,-0.1,,0.01,,0.25,**,-0.24,**,,,0.28,**,,,0.31,**,,,0.2,*,-0.02,,0.21,*,0.33,***,0.12,,0.01,,0.01,,-0.02,,-0.42,***,-0.02,,-0.09,,0.02,,,,-0.03,,0.2,*,-0.26,,,,0.07,,0.17,*,0.29,***,0.04,,-0.1,,-0.13,,,,0.08,,0.25,**,-0.11,,-0.18,*,-0.03,,,,-0.04,,0.02,,,,,,0.04,,,,-0.19,*,,,-0.29,***,0.01,,0.21,*,-0.09,,-0.21,**,0.26,**,0.03,,-0.05,,-0.05,,0.5,***,0.37,***,-0.09,
Availability of RDF dump (metadata),0.3,***,0.27,***,0.28,***,-0.13,,0.28,***,,,1.0,***,0.05,,1.0,***,0.05,,0.24,***,-0.02,,,,0.15,***,0.26,***,0.25,***,-0.27,***,-0.24,***,0.07,,,,-0.33,*,,,0.05,*,0.06,**,0.28,***,0.25,***,,,-0.26,***,,,-0.12,,,,0.25,***,-0.0,,0.14,,-0.07,,0.18,*,-0.13,,-0.13,,0.09,,0.21,*,0.05,,-0.11,,-0.14,,,,0.32,***,-0.16,*,-0.25,,,,-0.2,*,-0.15,,-0.13,,-0.2,*,0.19,***,-0.05,,,,0.28,***,-0.03,,0.25,***,0.31,***,0.07,**,,,0.32,***,0.29,***,,,0.4,***,0.3,***,,,0.01,,,,0.08,,-0.2,*,-0.17,*,0.02,,0.03,,0.09,***,-0.08,,0.02,,0.02,,0.29,***,0.3,***,0.15,***
Availability of RDF dump (query),0.04,,-0.02,,-0.08,,0.21,*,-0.37,***,,,0.05,,1.0,***,0.05,,1.0,***,0.36,***,0.28,***,,,0.0,,-0.35,***,-0.27,***,-0.13,,-0.11,,-0.06,,,,0.7,***,,,-0.1,,0.01,,0.25,**,-0.24,**,,,0.28,**,,,0.31,**,,,0.2,*,-0.02,,0.21,*,0.33,***,0.12,,0.01,,0.01,,-0.02,,-0.42,***,-0.02,,-0.09,,0.02,,,,-0.03,,0.2,*,-0.26,,,,0.07,,0.17,*,0.29,***,0.04,,-0.1,,-0.13,,,,0.08,,0.25,**,-0.11,,-0.18,*,-0.03,,,,-0.04,,0.02,,,,,,0.04,,,,-0.19,*,,,-0.29,***,0.01,,0.21,*,-0.09,,-0.21,**,0.26,**,0.03,,-0.05,,-0.05,,0.5,***,0.37,***,-0.09,
Availability,0.04,,-0.07,**,0.49,***,-0.15,,0.46,***,,,0.24,***,0.36,***,0.24,***,0.36,***,1.0,***,-0.29,***,,,0.24,***,0.48,***,0.47,***,-0.46,***,-0.17,***,0.3,***,,,0.82,***,,,-0.79,***,-0.26,***,0.47,***,0.47,***,,,-0.18,***,,,0.21,*,,,-0.1,***,-0.29,***,0.02,,0.07,,-0.36,***,-0.05,,-0.06,,0.31,***,-0.21,*,0.22,*,-0.08,,0.03,,,,0.22,***,-0.12,,-0.25,,,,-0.19,*,0.01,,-0.0,,-0.29,***,-0.14,***,-0.2,*,,,0.51,***,-0.1,***,0.47,***,0.48,***,-0.13,***,,,0.22,***,0.51,***,,,0.87,***,-0.37,***,,,-0.15,,,,-0.15,,-0.17,*,0.68,***,-0.19,*,-0.31,***,0.04,,-0.08,,-0.24,**,-0.24,**,0.04,,0.36,***,0.24,***
Believability,0.36,***,0.4,***,-0.05,*,0.24,**,-0.06,**,,,-0.02,,0.28,***,-0.02,,0.28,***,-0.29,***,1.0,***,,,-0.02,,-0.03,,-0.03,,0.03,,0.33,***,-0.28,***,,,0.52,***,,,0.32,***,0.44,***,-0.05,*,-0.04,,,,0.84,***,,,0.42,***,,,0.47,***,0.07,,-0.42,***,0.15,,-0.34,***,-0.13,,-0.15,,0.08,,-0.38,***,0.38,***,-0.19,*,-0.05,,,,0.61,***,0.04,,0.27,*,,,0.55,***,0.49,***,0.51,***,0.45,***,0.39,***,-0.26,**,,,-0.05,*,0.08,***,-0.04,,-0.05,*,0.3,***,,,0.61,***,-0.04,,,,0.12,*,-0.38,***,,,0.07,,,,-0.18,*,0.36,***,0.31,***,-0.06,,0.21,**,0.06,**,0.27,***,-0.09,,-0.09,,0.46,***,-0.06,**,0.02,
Clustering coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Completeness,0.15,***,0.12,***,0.44,***,-0.22,*,0.42,***,,,0.15,***,0.0,,0.15,***,0.0,,0.24,***,-0.02,,,,1.0,***,0.43,***,0.41,***,-0.47,***,-0.01,,0.07,,,,-0.02,,,,-0.05,*,0.12,***,0.44,***,0.46,***,,,-0.06,*,,,-0.04,,,,0.09,***,-0.23,**,0.04,,-0.08,,0.02,,0.03,,0.03,,0.2,*,0.21,*,0.07,,0.05,,0.07,,,,0.22,***,-0.21,**,-0.39,**,,,-0.14,,-0.09,,-0.04,,-0.26,***,0.17,***,-0.12,,,,0.43,***,0.0,,0.46,***,0.42,***,0.1,***,,,0.22,***,0.43,***,,,0.37,***,-0.08,,,,-0.15,,,,0.18,*,-0.06,,0.26,**,0.02,,-0.31,***,0.12,***,-0.05,,-0.15,,-0.15,,0.19,***,0.37,***,0.03,
Conciseness,0.41,***,0.22,***,0.92,***,-0.13,,0.87,***,,,0.26,***,-0.35,***,0.26,***,-0.35,***,0.48,***,-0.03,,,,0.43,***,1.0,***,0.96,***,-0.9,***,-0.02,,0.08,,,,-0.67,***,,,-0.03,,-0.11,***,0.88,***,0.95,***,,,-0.11,***,,,-0.14,,,,0.2,***,0.13,,0.23,**,-0.07,,0.35,***,0.29,***,0.28,***,-0.14,,0.36,***,-0.41,***,0.35,***,0.24,**,,,0.47,***,0.12,,0.47,***,,,0.03,,-0.11,,0.01,,0.03,,0.19,***,0.34,***,,,0.95,***,0.01,,0.94,***,0.89,***,0.1,***,,,0.47,***,0.95,***,,,0.9,***,0.24,**,,,-0.0,,,,0.31,***,-0.29,***,-0.44,***,0.22,*,-0.14,,0.3,***,-0.27,***,0.31,***,0.31,***,0.44,***,0.61,***,0.56,***
Consistency,0.4,***,0.22,***,0.93,***,0.4,***,0.88,***,,,0.25,***,-0.27,***,0.25,***,-0.27,***,0.47,***,-0.03,,,,0.41,***,0.96,***,1.0,***,-0.93,***,-0.0,,-0.62,***,,,-0.79,***,,,-0.03,,-0.1,***,0.9,***,0.96,***,,,-0.1,***,,,0.24,*,,,0.2,***,0.21,*,-0.3,***,0.21,*,0.18,*,0.12,,0.12,,-0.39,***,-0.02,,-0.09,,0.18,*,0.27,***,,,0.46,***,0.14,,0.49,***,,,0.61,***,0.48,***,0.36,***,0.48,***,0.2,***,0.01,,,,0.93,***,0.01,,0.95,***,0.87,***,0.11,***,,,0.46,***,0.92,***,,,0.87,***,-0.09,,,,0.15,,,,0.3,***,0.44,***,-0.39,***,0.33,***,0.31,***,0.31,***,-0.1,,0.38,***,0.38,***,0.43,***,0.59,***,0.59,***
Currency,-0.37,***,-0.2,***,-0.9,***,,,-0.84,***,,,-0.27,***,-0.13,,-0.27,***,-0.13,,-0.46,***,0.03,,,,-0.47,***,-0.9,***,-0.93,***,1.0,***,-0.01,,0.19,*,,,0.23,,,,0.02,,0.08,***,-0.87,***,-0.92,***,,,0.11,***,,,0.04,,,,-0.18,***,0.12,,-0.06,,-0.07,,-0.21,*,-0.16,*,-0.15,,0.1,,-0.12,,0.24,**,-0.16,*,-0.2,*,,,-0.45,***,0.1,,-0.0,,,,-0.21,**,-0.1,,-0.11,,0.03,,-0.19,***,0.05,,,,-0.91,***,-0.02,,-0.92,***,-0.84,***,-0.11,***,,,-0.45,***,-0.9,***,,,-0.86,***,,,,,-0.01,,,,-0.35,***,0.06,,0.07,,-0.31,***,0.25,**,-0.31,***,0.25,**,-0.1,,-0.1,,-0.42,***,-0.61,***,-0.52,***
Degree of connection,0.0,,0.02,,-0.01,,0.37,***,-0.01,,,,-0.24,***,-0.11,,-0.24,***,-0.11,,-0.17,***,0.33,***,,,-0.01,,-0.02,,-0.0,,-0.01,,1.0,***,-0.5,***,,,-0.38,*,,,0.21,***,0.29,***,-0.01,,-0.01,,,,0.31,***,,,0.14,,,,0.02,,0.04,,-0.28,**,-0.14,,-0.06,,-0.23,**,-0.23,**,0.02,,0.01,,0.27,**,-0.24,**,-0.16,,,,0.15,***,-0.23,*,0.35,*,,,0.58,***,0.36,***,0.43,***,0.52,***,0.28,***,-0.24,*,,,-0.01,,-0.05,,-0.02,,-0.04,,0.54,***,,,0.14,***,-0.01,,,,0.18,**,-0.21,*,,,0.03,,,,0.2,*,0.54,***,-0.14,,0.07,,0.5,***,-0.04,,0.4,***,0.0,,0.0,,0.16,***,-0.09,***,0.09,**
Deprecated classes/properties used,-0.5,***,-0.23,**,-0.13,,-0.72,***,-0.23,**,,,0.07,,-0.06,,0.07,,-0.06,,0.3,***,-0.28,***,,,0.07,,0.08,,-0.62,***,0.19,*,-0.5,***,1.0,***,,,-0.0,,,,-0.16,,0.09,,-0.22,**,-0.35,***,,,0.01,,,,-0.34,**,,,-0.03,,-0.15,,0.27,**,-0.27,**,-0.12,,0.34,***,0.33,***,0.33,***,0.26,**,-0.25,**,0.26,**,0.15,,,,-0.36,***,0.03,,-0.22,,,,-0.6,***,-0.54,***,-0.32,***,-0.5,***,-0.28,***,0.37,***,,,0.32,***,-0.16,,0.4,***,0.57,***,-0.38,***,,,-0.36,***,-0.2,*,,,,,0.05,,,,-0.14,,,,-0.16,,-0.39,***,0.24,**,-0.06,,-0.49,***,-0.59,***,-0.2,*,-0.14,,-0.14,,-0.46,***,0.36,***,-0.64,***
Description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
