Number of samAs chains,0.68,***,0.34,***,0.05,,0.31,***,0.07,,,,-0.13,,0.29,***,-0.13,,0.29,***,-0.0,,0.51,***,,,-0.04,,0.01,,0.36,***,-0.11,,0.43,***,-0.32,***,,,0.86,***,,,-0.02,,-0.05,,0.58,***,0.41,***,,,0.39,***,,,0.49,***,,,0.28,***,0.36,***,-0.19,*,0.42,***,-0.01,,-0.16,,-0.17,*,-0.19,*,-0.51,***,0.26,**,-0.2,*,-0.06,,,,0.47,***,0.31,***,0.73,***,,,0.73,***,0.72,***,1.0,***,0.68,***,0.34,***,0.06,,,,-0.16,*,0.18,*,-0.01,,-0.46,***,0.42,***,,,0.47,***,0.24,**,,,,,-0.09,,,,0.15,,,,-0.26,**,0.46,***,-0.14,,0.14,,0.27,***,0.52,***,0.24,**,0.24,**,0.24,**,0.53,***,-0.09,,0.47,***
Number of triples (query),1.0,***,0.46,***,-0.27,***,0.43,***,-0.01,,,,-0.2,*,0.04,,-0.2,*,0.04,,-0.29,***,0.45,***,,,-0.26,***,0.03,,0.48,***,0.03,,0.52,***,-0.5,***,,,-0.61,***,,,0.1,,-0.27,***,0.06,,0.31,***,,,0.22,*,,,0.51,***,,,0.11,,0.43,***,-0.3,***,0.27,**,-0.04,,-0.1,,-0.1,,-0.32,***,-0.57,***,0.2,*,-0.1,,0.01,,,,0.29,***,0.43,***,0.4,**,,,0.87,***,0.68,***,0.68,***,1.0,***,0.31,***,-0.03,,,,-0.19,*,0.13,,-0.28,***,-0.53,***,0.43,***,,,0.29,***,0.24,**,,,,,-0.22,*,,,0.25,**,,,-0.04,,0.56,***,-0.3,***,0.16,,0.61,***,0.4,***,0.24,**,0.36,***,0.36,***,0.38,***,-0.48,***,0.53,***
Number of triples linked,0.61,***,0.65,***,0.16,***,0.13,,0.18,***,,,0.19,***,-0.1,,0.19,***,-0.1,,-0.14,***,0.39,***,,,0.17,***,0.19,***,0.2,***,-0.19,***,0.28,***,-0.28,***,,,-0.27,,,,0.28,***,0.62,***,0.17,***,0.19,***,,,0.08,**,,,0.09,,,,0.29,***,0.18,*,-0.2,*,-0.0,,0.14,,0.01,,0.01,,-0.07,,0.18,*,0.16,,0.06,,0.05,,,,0.43,***,0.1,,0.19,,,,0.34,***,0.28,**,0.34,***,0.31,***,1.0,***,0.04,,,,0.17,***,0.2,***,0.19,***,0.17,***,0.77,***,,,0.42,***,0.17,***,,,0.31,***,0.11,,,,0.1,,,,0.27,**,0.24,**,-0.19,*,0.16,,0.14,,0.25,***,-0.04,,0.11,,0.11,,0.41,***,0.12,***,0.13,***
Number of triples updated,-0.03,,0.03,,0.07,,-0.52,***,0.37,***,,,-0.05,,-0.13,,-0.05,,-0.13,,-0.2,*,-0.26,**,,,-0.12,,0.34,***,0.01,,0.05,,-0.24,*,0.37,***,,,0.69,***,,,0.02,,-0.13,,-0.13,,0.02,,,,-0.06,,,,-0.06,,,,0.14,,0.29,**,0.21,*,0.22,*,0.27,**,0.12,,0.14,,-0.47,***,0.18,,-0.46,***,0.16,,0.08,,,,-0.04,,0.41,***,0.82,***,,,-0.26,**,-0.24,**,0.06,,-0.03,,0.04,,1.0,***,,,0.16,,-0.16,,0.48,***,0.12,,-0.09,,,,-0.04,,-0.34,***,,,,,0.25,*,,,0.34,***,,,-0.17,,-0.38,***,-0.33,***,0.28,**,-0.16,,-0.33,***,-0.34,***,0.44,***,0.44,***,-0.19,*,0.0,,-0.12,
Ontology Hijacking problem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance,0.41,***,0.19,***,0.96,***,-0.16,,0.9,***,,,0.28,***,0.08,,0.28,***,0.08,,0.51,***,-0.05,*,,,0.43,***,0.95,***,0.93,***,-0.91,***,-0.01,,0.32,***,,,0.48,**,,,-0.03,,-0.11,***,0.93,***,0.93,***,,,-0.11,***,,,0.12,,,,0.21,***,-0.14,,0.43,***,0.11,,0.23,**,0.82,***,0.81,***,-0.07,,0.1,,-0.45,***,0.78,***,0.74,***,,,0.49,***,0.22,**,0.05,,,,-0.26,**,-0.15,,-0.16,*,-0.19,*,0.17,***,0.16,,,,1.0,***,0.0,,0.93,***,0.93,***,0.08,**,,,0.49,***,0.99,***,,,0.96,***,-0.02,,,,-0.1,,,,-0.01,,-0.32,***,0.08,,0.22,*,-0.48,***,0.3,***,-0.48,***,0.02,,0.02,,0.43,***,0.66,***,0.52,***
Presence of example,0.19,***,0.19,***,0.01,,0.28,**,0.01,,,,-0.03,,0.25,**,-0.03,,0.25,**,-0.1,***,0.08,***,,,0.0,,0.01,,0.01,,-0.02,,-0.05,,-0.16,,,,0.09,,,,0.17,***,0.01,,0.0,,0.02,,,,-0.21,***,,,0.24,*,,,-0.09,***,0.04,,-0.19,*,0.28,**,-0.12,,0.02,,0.01,,-0.01,,-0.3,***,0.13,,-0.04,,0.02,,,,0.21,***,0.01,,-0.11,,,,0.22,**,0.16,,0.18,*,0.13,,0.2,***,-0.16,,,,0.0,,1.0,***,0.01,,0.01,,0.24,***,,,0.21,***,0.01,,,,-0.09,,-0.08,,,,0.03,,,,-0.18,*,0.28,***,0.21,*,-0.07,,0.07,,0.92,***,0.3,***,-0.09,,-0.09,,-0.04,,0.01,,0.03,
Rep. Conciseness,0.39,***,0.21,***,0.96,***,-0.33,***,0.87,***,,,0.25,***,-0.11,,0.25,***,-0.11,,0.47,***,-0.04,,,,0.46,***,0.94,***,0.95,***,-0.92,***,-0.02,,0.4,***,,,0.48,**,,,-0.02,,-0.1,***,0.92,***,0.99,***,,,-0.1,***,,,-0.02,,,,0.19,***,0.11,,0.46,***,0.11,,0.44,***,0.49,***,0.48,***,-0.2,*,0.31,***,-0.47,***,0.48,***,0.37,***,,,0.46,***,0.21,**,0.19,,,,-0.22,**,-0.19,*,-0.01,,-0.28,***,0.19,***,0.48,***,,,0.93,***,0.01,,1.0,***,0.86,***,0.09,***,,,0.46,***,0.91,***,,,0.86,***,0.19,*,,,-0.03,,,,0.02,,-0.42,***,-0.03,,0.03,,-0.52,***,0.32,***,-0.37,***,-0.01,,-0.01,,0.43,***,0.62,***,0.56,***
Interoperability,0.42,***,0.21,***,0.9,***,-0.51,***,0.85,***,,,0.31,***,-0.18,*,0.31,***,-0.18,*,0.48,***,-0.05,*,,,0.42,***,0.89,***,0.87,***,-0.84,***,-0.04,,0.57,***,,,0.29,,,,-0.03,,-0.12,***,0.86,***,0.87,***,,,-0.13,***,,,-0.23,*,,,0.2,***,-0.14,,0.22,*,-0.25,**,-0.03,,0.26,***,0.25,**,0.14,,0.44,***,-0.26,**,0.23,**,0.07,,,,0.52,***,-0.07,,-0.13,,,,-0.52,***,-0.45,***,-0.46,***,-0.53,***,0.17,***,0.12,,,,0.93,***,0.01,,0.86,***,1.0,***,0.07,**,,,0.52,***,0.94,***,,,0.94,***,0.09,,,,0.04,,,,-0.06,,-0.46,***,0.26,**,-0.28,**,-0.48,***,0.33,***,-0.22,**,-0.17,*,-0.17,*,0.46,***,0.75,***,0.47,***
Reputation,0.45,***,0.49,***,0.08,**,0.23,*,0.08,***,,,0.07,**,-0.03,,0.07,**,-0.03,,-0.13,***,0.3,***,,,0.1,***,0.1,***,0.11,***,-0.11,***,0.54,***,-0.38,***,,,-0.36,*,,,0.2,***,0.47,***,0.08,***,0.09,***,,,0.14,***,,,0.18,,,,0.08,***,0.15,,-0.3,***,0.1,,0.04,,-0.08,,-0.08,,-0.04,,-0.02,,0.26,**,-0.04,,0.01,,,,0.28,***,0.1,,0.27,,,,0.53,***,0.4,***,0.42,***,0.43,***,0.77,***,-0.09,,,,0.08,**,0.24,***,0.09,***,0.07,**,1.0,***,,,0.26,***,0.08,***,,,0.22,***,-0.04,,,,0.06,,,,0.17,*,0.39,***,-0.13,,0.13,,0.25,**,0.27,***,0.12,,0.11,,0.11,,0.22,***,0.02,,0.12,***
Requires authentication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Score,0.6,***,0.51,***,0.48,***,0.47,***,0.46,***,,,0.32,***,-0.04,,0.32,***,-0.04,,0.22,***,0.61,***,,,0.22,***,0.47,***,0.46,***,-0.45,***,0.14,***,-0.36,***,,,0.4,**,,,0.11,***,0.3,***,0.46,***,0.46,***,,,0.31,***,,,0.52,***,,,0.7,***,0.03,,-0.02,,0.33,***,0.1,,0.2,**,0.19,*,-0.33,***,-0.18,,-0.11,,0.26,**,0.35,***,,,1.0,***,0.25,**,0.33,*,,,0.5,***,0.48,***,0.47,***,0.29,***,0.42,***,-0.04,,,,0.49,***,0.21,***,0.46,***,0.52,***,0.26,***,,,1.0,***,0.49,***,,,0.84,***,-0.32,***,,,0.16,,,,-0.06,,0.33,***,0.1,,0.22,*,0.01,,0.38,***,0.1,,0.18,*,0.18,*,0.79,***,0.43,***,0.27,***
Security,0.41,***,0.19,***,0.96,***,0.32,***,0.91,***,,,0.29,***,0.02,,0.29,***,0.02,,0.51,***,-0.04,,,,0.43,***,0.95,***,0.92,***,-0.9,***,-0.01,,-0.2,*,,,-0.73,***,,,-0.03,,-0.11,***,0.92,***,0.92,***,,,-0.11,***,,,0.07,,,,0.2,***,-0.06,,-0.29,***,0.0,,-0.32,***,-0.45,***,-0.45,***,0.15,,-0.26,**,0.29,***,-0.49,***,-0.44,***,,,0.49,***,-0.2,*,-0.1,,,,0.32,***,0.09,,0.24,**,0.24,**,0.17,***,-0.34,***,,,0.99,***,0.01,,0.91,***,0.94,***,0.08,***,,,0.49,***,1.0,***,,,0.97,***,-0.11,,,,-0.04,,,,-0.2,*,0.49,***,0.12,,-0.18,*,0.43,***,0.31,***,1.0,***,-0.15,,-0.15,,0.43,***,0.66,***,0.54,***
Signed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sparql endpoint,0.63,***,0.24,***,0.94,***,,,0.88,***,,,0.4,***,,,0.4,***,,,0.87,***,0.12,*,,,0.37,***,0.9,***,0.87,***,-0.86,***,0.18,**,,,,,,,,,-0.31,***,-0.12,*,0.87,***,0.87,***,,,-0.08,,,,,,,,0.27,***,,,,,,,,,,,,,,,,,,,,,,,,,0.84,***,,,-0.05,,,,,,,,,,,,0.31,***,,,,,0.96,***,-0.09,,0.86,***,0.94,***,0.22,***,,,0.84,***,0.97,***,,,1.0,***,,,,,,,,,,,,,,,,,,,0.4,***,,,,,,,0.69,***,0.65,***,0.45,***
Time elapsed since last modification,-0.22,*,-0.12,,0.14,,0.03,,-0.08,,,,0.3,***,0.04,,0.3,***,0.04,,-0.37,***,-0.38,***,,,-0.08,,0.24,**,-0.09,,,,-0.21,*,0.05,,,,-0.42,**,,,0.37,***,-0.1,,-0.2,*,-0.21,*,,,-0.21,,,,-0.49,***,,,-0.24,**,0.15,,0.23,*,0.09,,0.5,***,-0.0,,0.01,,-0.16,,0.23,*,-0.15,,-0.04,,-0.25,**,,,-0.32,***,0.2,*,-0.3,*,,,-0.28,**,-0.28,**,-0.09,,-0.22,*,0.11,,0.25,*,,,-0.02,,-0.08,,0.19,*,0.09,,-0.04,,,,-0.32,***,-0.11,,,,,,1.0,***,,,0.07,,,,-0.28,**,-0.26,**,-0.6,***,,,-0.11,,-0.2,*,-0.11,,0.16,,0.16,,-0.12,,-0.05,,-0.19,*
Triples with empty annotation problem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triples with malformed data type literals problem,0.25,**,0.09,,-0.06,,-0.1,,0.35,***,,,0.01,,-0.19,*,0.01,,-0.19,*,-0.15,,0.07,,,,-0.15,,-0.0,,0.15,,-0.01,,0.03,,-0.14,,,,0.08,,,,-0.07,,-0.14,,0.02,,0.14,,,,-0.08,,,,0.14,,,,0.08,,0.23,**,-0.12,,0.06,,0.09,,-0.04,,-0.04,,-0.4,***,-0.12,,-0.23,**,-0.01,,0.09,,,,0.16,,0.26,**,0.37,*,,,0.13,,0.01,,0.15,,0.25,**,0.1,,0.34,***,,,-0.1,,0.03,,-0.03,,0.04,,0.06,,,,0.16,,-0.04,,,,,,0.07,,,,1.0,***,,,-0.08,,0.0,,-0.29,***,0.16,,0.17,*,0.06,,-0.04,,0.33,***,0.33,***,-0.02,,-0.07,,0.16,
Triples with misplaced class problem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,
Triples with misplaced property problem,-0.04,,0.07,,,,-0.03,,0.28,***,,,0.08,,-0.29,***,0.08,,-0.29,***,-0.15,,-0.18,*,,,0.18,*,0.31,***,0.3,***,-0.35,***,0.2,*,-0.16,,,,-0.37,*,,,0.04,,0.18,*,-0.18,*,0.21,*,,,-0.38,***,,,-0.19,,,,-0.09,,-0.1,,-0.01,,-0.53,***,-0.03,,0.1,,0.09,,0.11,,0.37,***,-0.02,,0.2,*,0.21,*,,,-0.06,,-0.3,***,0.17,,,,-0.07,,-0.3,***,-0.26,**,-0.04,,0.27,**,-0.17,,,,-0.01,,-0.18,*,0.02,,-0.06,,0.17,*,,,-0.06,,-0.2,*,,,,,-0.28,**,,,-0.08,,,,1.0,***,0.06,,-0.02,,-0.07,,0.13,,0.01,,-0.2,*,-0.14,,-0.14,,-0.18,*,-0.09,,0.01,
Triples with white space in annotation(at the beginning or at the end),0.56,***,0.24,**,0.01,,0.51,***,0.02,,,,-0.2,*,0.01,,-0.2,*,0.01,,-0.17,*,0.36,***,,,-0.06,,-0.29,***,0.44,***,0.06,,0.54,***,-0.39,***,,,-0.5,***,,,0.09,,-0.07,,0.27,**,0.39,***,,,0.07,,,,0.21,,,,-0.06,,0.07,,-0.52,***,0.03,,-0.32,***,-0.25,**,-0.25,**,0.14,,-0.24,*,0.48,***,-0.28,***,-0.15,,,,0.33,***,-0.19,*,0.1,,,,0.74,***,0.48,***,0.46,***,0.56,***,0.24,**,-0.38,***,,,-0.32,***,0.28,***,-0.42,***,-0.46,***,0.39,***,,,0.33,***,0.49,***,,,,,-0.26,**,,,0.0,,,,0.06,,1.0,***,-0.03,,-0.03,,0.6,***,0.67,***,0.49,***,-0.08,,-0.08,,0.27,**,-0.43,***,0.46,***
URIs Deferenceability,-0.3,***,-0.05,,0.07,,-0.09,,-0.17,,,,-0.17,*,0.21,*,-0.17,*,0.21,*,0.68,***,0.31,***,,,0.26,**,-0.44,***,-0.39,***,0.07,,-0.14,,0.24,**,,,0.77,***,,,-0.32,***,0.26,**,0.22,**,-0.18,*,,,0.4,***,,,0.09,,,,0.11,,-0.32,***,-0.02,,-0.04,,-0.39,***,-0.07,,-0.07,,0.37,***,-0.17,,0.29,***,-0.1,,-0.03,,,,0.1,,-0.13,,-0.27,,,,-0.16,,-0.09,,-0.14,,-0.3,***,-0.19,*,-0.33,***,,,0.08,,0.21,*,-0.03,,0.26,**,-0.13,,,,0.1,,0.12,,,,,,-0.6,***,,,-0.29,***,,,-0.02,,-0.03,,1.0,***,-0.31,***,-0.39,***,0.04,,0.11,,-0.48,***,-0.48,***,-0.12,,0.33,***,-0.26,**
Undefined class used without declaration,0.16,,0.09,,,,,,0.38,***,,,0.02,,-0.09,,0.02,,-0.09,,-0.19,*,-0.06,,,,0.02,,0.22,*,0.33,***,-0.31,***,0.07,,-0.06,,,,,,,,0.04,,0.03,,0.01,,0.26,**,,,-0.08,,,,0.09,,,,0.07,,-0.06,,-0.04,,0.22,*,0.2,*,0.18,*,0.17,,-0.38,***,-0.05,,-0.17,,0.17,,0.3,***,,,0.22,*,-0.01,,,,,,0.08,,0.22,*,0.14,,0.16,,0.16,,0.28,**,,,0.22,*,-0.07,,0.03,,-0.28,**,0.13,,,,0.22,*,-0.18,*,,,,,,,,,0.16,,,,-0.07,,-0.03,,-0.31,***,1.0,***,0.04,,-0.0,,-0.18,*,0.66,***,0.66,***,0.19,*,-0.04,,0.16,
Undefined properties used without declaration,0.61,***,0.2,*,-0.17,*,0.46,***,0.05,,,,0.03,,-0.21,**,0.03,,-0.21,**,-0.31,***,0.21,**,,,-0.31,***,-0.14,,0.31,***,0.25,**,0.5,***,-0.49,***,,,-0.82,***,,,0.11,,-0.32,***,0.04,,0.16,*,,,0.04,,,,0.17,,,,-0.11,,0.27,**,-0.49,***,-0.16,,-0.22,*,-0.38,***,-0.38,***,-0.12,,-0.31,***,0.27,**,-0.37,***,-0.3,***,,,0.01,,-0.09,,0.37,*,,,0.57,***,0.25,**,0.27,***,0.61,***,0.14,,-0.16,,,,-0.48,***,0.07,,-0.52,***,-0.48,***,0.25,**,,,0.01,,0.43,***,,,,,-0.11,,,,0.17,*,,,0.13,,0.6,***,-0.39,***,0.04,,1.0,***,0.29,***,0.46,***,0.12,,0.12,,0.05,,-0.54,***,0.46,***
Understandability,0.32,***,0.27,***,0.32,***,0.58,***,0.3,***,,,0.09,***,0.26,**,0.09,***,0.26,**,0.04,,0.06,**,,,0.12,***,0.3,***,0.31,***,-0.31,***,-0.04,,-0.59,***,,,0.09,,,,0.16,***,-0.03,,0.31,***,0.32,***,,,-0.23,***,,,0.35,***,,,-0.02,,0.04,,-0.38,***,0.38,***,-0.15,,-0.12,,-0.12,,-0.06,,-0.43,***,0.23,**,-0.12,,0.01,,,,0.38,***,-0.05,,0.13,,,,0.73,***,0.51,***,0.52,***,0.4,***,0.25,***,-0.33,***,,,0.3,***,0.92,***,0.32,***,0.33,***,0.27,***,,,0.38,***,0.31,***,,,0.4,***,-0.2,*,,,0.06,,,,0.01,,0.67,***,0.04,,-0.0,,0.29,***,1.0,***,0.34,***,0.04,,0.04,,0.14,***,0.26,***,0.26,***
Use HTTPS,0.24,**,-0.14,,-0.06,,0.32,***,-0.17,*,,,-0.08,,0.03,,-0.08,,0.03,,-0.08,,0.27,***,,,-0.05,,-0.27,***,-0.1,,0.25,**,0.4,***,-0.2,*,,,-0.73,***,,,0.17,*,-0.06,,0.28,***,0.1,,,,0.19,,,,0.07,,,,-0.05,,-0.05,,-0.29,***,0.0,,-0.35,***,-0.45,***,-0.45,***,0.15,,-0.26,**,0.33,***,-0.49,***,-0.44,***,,,0.11,,-0.22,**,-0.25,,,,0.32,***,0.1,,0.24,**,0.24,**,-0.04,,-0.34,***,,,-0.48,***,0.3,***,-0.37,***,-0.22,**,0.12,,,,0.1,,1.0,***,,,,,-0.11,,,,-0.04,,,,-0.2,*,0.49,***,0.11,,-0.18,*,0.46,***,0.34,***,1.0,***,-0.15,,-0.15,,0.13,,-0.23,**,0.24,**
Use RDF structures,0.36,***,0.17,*,0.12,,-0.03,,0.26,**,,,0.02,,-0.05,,0.02,,-0.05,,-0.24,**,-0.09,,,,-0.15,,0.31,***,0.38,***,-0.1,,0.0,,-0.14,,,,0.09,,,,0.06,,-0.18,*,-0.06,,0.11,,,,-0.1,,,,0.11,,,,0.03,,0.35,***,0.02,,0.44,***,0.33,***,0.04,,0.03,,-0.58,***,-0.17,,-0.34,***,0.07,,0.11,,,,0.18,*,0.26,**,0.58,***,,,0.24,**,0.3,***,0.24,**,0.36,***,0.11,,0.44,***,,,0.02,,-0.09,,-0.01,,-0.17,*,0.11,,,,0.18,*,-0.15,,,,,,0.16,,,,0.33,***,,,-0.14,,-0.08,,-0.48,***,0.66,***,0.12,,0.04,,-0.15,,1.0,***,1.0,***,0.13,,-0.09,,0.23,**
Uses RDF structures,0.36,***,0.17,*,0.12,,-0.03,,0.26,**,,,0.02,,-0.05,,0.02,,-0.05,,-0.24,**,-0.09,,,,-0.15,,0.31,***,0.38,***,-0.1,,0.0,,-0.14,,,,0.09,,,,0.06,,-0.18,*,-0.06,,0.11,,,,-0.1,,,,0.11,,,,0.03,,0.35,***,0.02,,0.44,***,0.33,***,0.04,,0.03,,-0.58,***,-0.17,,-0.34,***,0.07,,0.11,,,,0.18,*,0.26,**,0.58,***,,,0.24,**,0.3,***,0.24,**,0.36,***,0.11,,0.44,***,,,0.02,,-0.09,,-0.01,,-0.17,*,0.11,,,,0.18,*,-0.15,,,,,,0.16,,,,0.33,***,,,-0.14,,-0.08,,-0.48,***,0.66,***,0.12,,0.04,,-0.15,,1.0,***,1.0,***,0.13,,-0.09,,0.23,**
Verifiability,0.53,***,0.46,***,0.42,***,0.45,***,0.4,***,,,0.29,***,0.5,***,0.29,***,0.5,***,0.04,,0.46,***,,,0.19,***,0.44,***,0.43,***,-0.42,***,0.16,***,-0.46,***,,,0.37,*,,,0.25,***,0.33,***,0.42,***,0.43,***,,,0.2,***,,,0.46,***,,,0.65,***,0.12,,-0.03,,0.45,***,0.16,,0.06,,0.06,,-0.11,,-0.41,***,0.15,,0.05,,0.19,*,,,0.79,***,0.37,***,-0.1,,,,0.52,***,0.47,***,0.53,***,0.38,***,0.41,***,-0.19,*,,,0.43,***,-0.04,,0.43,***,0.46,***,0.22,***,,,0.79,***,0.43,***,,,0.69,***,-0.12,,,,-0.02,,,,-0.18,*,0.27,**,-0.12,,0.19,*,0.05,,0.14,***,0.13,,0.13,,0.13,,1.0,***,0.4,***,0.28,***
Versatility,0.29,***,0.13,***,0.65,***,-0.16,,0.61,***,,,0.3,***,0.37,***,0.3,***,0.37,***,0.36,***,-0.06,**,,,0.37,***,0.61,***,0.59,***,-0.61,***,-0.09,***,0.36,***,,,0.74,***,,,-0.05,*,-0.06,**,0.63,***,0.6,***,,,-0.11,***,,,0.12,,,,0.17,***,-0.21,*,0.52,***,0.15,,0.14,,0.28,***,0.27,***,0.02,,-0.18,*,-0.23,**,0.26,***,0.26,**,,,0.43,***,0.0,,-0.4,**,,,-0.38,***,-0.25,**,-0.09,,-0.48,***,0.12,***,0.0,,,,0.66,***,0.01,,0.62,***,0.75,***,0.02,,,,0.43,***,0.66,***,,,0.65,***,-0.05,,,,-0.07,,,,-0.09,,-0.43,***,0.33,***,-0.04,,-0.54,***,0.26,***,-0.23,**,-0.09,,-0.09,,0.4,***,1.0,***,0.21,***
Timeliness,0.27,***,0.15,***,0.55,***,0.69,***,0.58,***,,,0.15,***,-0.09,,0.15,***,-0.09,,0.24,***,0.02,,,,0.03,,0.56,***,0.59,***,-0.52,***,0.09,**,-0.64,***,,,-0.22,,,,0.03,,-0.1,***,0.58,***,0.59,***,,,-0.06,*,,,0.57,***,,,0.13,***,0.2,*,-0.18,*,0.32,***,0.04,,-0.13,,-0.12,,-0.38,***,-0.46,***,0.01,,-0.06,,0.06,,,,0.27,***,0.09,,0.38,**,,,0.69,***,0.46,***,0.47,***,0.53,***,0.13,***,-0.12,,,,0.52,***,0.03,,0.56,***,0.47,***,0.12,***,,,0.27,***,0.54,***,,,0.45,***,-0.19,*,,,0.16,,,,0.01,,0.46,***,-0.26,**,0.16,,0.46,***,0.26,***,0.24,**,0.23,**,0.23,**,0.28,***,0.21,***,1.0,***
